Category,ProcessedText,SpeakerDialect
درامي,انت تبي تاخذ حقك وغيرك بعد يبي ياخذ حقه,Najdi
درامي,اسمحلي,Khaliji
كوميدي,تبين الحقيقة يا ام صقر كافل اليتيم في الجنة وانا بيني وبينش موافق بس متى تبين نروح لهم,Khaliji
اطفال,انا ما بتكلم عن موت البهلوان,Hijazi
كوميدي,اخص عليك اخص عليك يا دكتور سعود اخص فعلا,Najdi
درامي,كل اللي يدور في خاطرك,Khaliji
درامي,نرجع ثاني للتخريف اللي ما له اي معنى,Khaliji
درامي,مرواحك لصديقك اهم من الكلام اللي بقوله,Hijazi
درامي,الا يا حبيبتي هاهاها سالت اختي الدكتورة عن الموضوع ده قلتلها قالتلي اسمو,Khaliji
كوميدي,كنا على قدنا مبسوطين ومرتاحين وشو اللي جانا وش اللي خلانا فجاة نتكلم بالملايين ام,Hijazi
اطفال,طيب اا تتوقع يبقى يعطيك الالف ريال ابقى شاورلي على المريض عشان اقف مكانو المرة الجاية,Najdi
درامي,غريبة انا مريم ما قالت لي كده,Hijazi
اطفال,شكرا لو سمحت,Khaliji
اطفال,وفي واحد يقول لك انا اربي صقور وقناص,Hijazi
اطفال,اه,Hijazi
اطفال,ايه استنى استنى لحظة لحظة,Najdi
كوميدي,يا عمتي صقر هاليومين من فتح المكتب و هو ما يقعد في البيت بالمرة,Najdi
درامي,هاهاها يا يعقوب,Hijazi
درامي,كوفي بينا وبين بعض شيء انتي نسيتي اني انا,Khaliji
درامي,هلا هلا باقوى ام,Hijazi
درامي,طال عمرك خفير مشي الان قاعد متابعنا من الاول,Khaliji
اطفال,من هذه احنا مية في المية مية في المية ولكن الحين في العبقري الصغير نبغى نطلع الى ميه وعشرين هاهاها تعال هذا التحدي الاخير اهلا والله بيزن اتفضل استريح,Najdi
اطفال,لا تكون خايف يا عمي انت بتفكر انه احنا جايين طمعانيين,Hijazi
اطفال,اسمع يا عباس الكلمتين وحطهم باذانك انا اكل ماني معطيك وفلوس عشان تشتري اكل هم بعد ماني معطيك خلاص ما تستحي على وجهك استغني عن شغلة الشحادة هذي اللي عايش عليها,Najdi
كوميدي,غيرواضح اللي تقول عليه,Najdi
درامي,ان شاء الله ما يصير الا الخير ما يصير الا الخير ابوك عيد الحين جاي فالطريج وج نتشاور ايش نسوي ابوي,Najdi
كوميدي,مالي خلق,Hijazi
درامي,خلاص من بكرا بيسافر,Najdi
درامي,ولا انا ها شيبة النخرة,Khaliji
كوميدي,ااه,Hijazi
درامي,ابشرك الحمدلله ما عندي منشود نفذ,Khaliji
درامي,حرام عليك يا سلامة كول,Najdi
كوميدي,شهر يقطع حلقك او اخذت بخمسة ريال بعد اشتبي قاعد يلا ادرف يلا,Hijazi
اطفال,من العلماء او من المتخصصين ايوة عن موضوع كورونا ونقوله انا معايا رقية,Najdi
كوميدي,ها يعني الحين انت تبي واحدة تفصيل مو بكذي استغفر الله العظيم,Hijazi
درامي,هاهاها,Khaliji
درامي,تصورى يا نوال اخوكي حامد ذا طلع ولد نشمي فوق ما تتصورين كيف صورى انو شايل عني حمل كبير كبير بالمرة,Hijazi
كوميدي,ان كان اعترض طريقي مرة ثانية ترى ما هو بزين لك فاهم,Khaliji
اطفال,عم صدقة,Hijazi
اطفال,خمسة واربعين,Najdi
درامي,اخيرا اخيرا حفظت اسمي الله هاهاها الله على الواحد وهو بيسمع اسمه الله هاهاها,Khaliji
كوميدي,ولكن ابغى اعرف شيء واحد,Khaliji
كوميدي,لا لا لا عنك عنك يا طويل العمر ما فيه من انا على فكرة اغير اسمي ارجوك,Hijazi
اطفال,خلينا نشوف اليوم اذا راح تصمد اختبار عدوى الضحك,Najdi
درامي,ما شفته من امس,Najdi
درامي,انت الي كاسرلنا الباب و جايين تاخد اختك بالقوة ها,Hijazi
درامي,ولا تحس بالم الجروح,Najdi
درامي,طمني شو الاخبار,Khaliji
اطفال,خليني اشوف حل للمصيبة اللي احنا فيها هادي,Khaliji
درامي,بس حرام عليكم ما يكفي اللي سويتو بعدنا وياي تخلصون عليها اطلعوا برا اطلعوا برا حرام عليكم حرام والله حرام,Khaliji
كوميدي,يبا ليه مو راضي تفهمني يبا ليه مو مو قادر تفهم انا اقدر اعتمد على نفسي بدون وصاية منك,Najdi
اطفال,هاهاها خليك انت كمل قصتك وانا راح ارجع للمكتب عشان اكمل كتابة وارجوك لما يجي سعيد خلي يبعتلي العصير عالمكتب,Khaliji
اطفال,وانا سوف اذهب الى قصر جزيرة وسوف اعود بالصندوق,Khaliji
درامي,جريمة في حق يتامه واليتامى ذول يبقون اهلي,Khaliji
اطفال,ابوك له كم شهر في المستشفى ليه ما تروح تشوف انت,Khaliji
درامي,لكن انا داري ليش راح ما يبي يحضر العرس,Najdi
اطفال,طب طب ويش يعني يا بابا فرحان المهم انه ما يعرفون بطريقنا,Khaliji
درامي,سلطان,Khaliji
درامي,بسك مدح يا محمد ترى ازعل اذا حسيت انه في وحدة تحبها اكثر مني,Najdi
درامي,ممكن,Hijazi
كوميدي,ان شاء الله من عيوني,Hijazi
اطفال,انا اقول لك فرقة الكنز بقيادة جدو سرحان,Hijazi
اطفال,انت جاي,Hijazi
درامي,اتصلي على اخوش شوفي وش صار معايا,Khaliji
اطفال,ماني مسافرة يعني ماني مسافرة,Khaliji
كوميدي,يا حبه لا نكاد,Najdi
درامي,وتعرف الخبيث,Khaliji
درامي,وحذرك من الان,Khaliji
درامي,لكن قلبي مصدقها مثل ماني متاكد,Khaliji
اطفال,اسمع انت يا كبير ما ابغاك تتكلم لو سمحت انا هنا الى بتكلم وبس,Khaliji
درامي,لا يا عمتي لا ها الموضوع هذا جديد بصراحة انا صار لي مدة واحس بالتغيير حاسة انه في خيانة عمتي خليني اروح البيت,Khaliji
درامي,اشوفها جريئة,Khaliji
درامي,لا تبيع الحلال هو انت راعيه,Najdi
درامي,اخ منكم على العموم لمن اروح للبيت بالليل ونتقابل اعلمكم اي خدمات,Najdi
اطفال,خلاص لمن تخلص العشرة الايام وبعدين حاسبيني وبعدين الرجال مسافر لما نرجع خلاص حل الحلال,Khaliji
اطفال,اروح اقول للسيد واني انه الكلام هذا مو عاجبكم ولا ايه,Khaliji
كوميدي,ما ذبحه,Khaliji
كوميدي,ترانا سمعنا عنك واجد ونعرفك زين,Khaliji
كوميدي,اقول لك الله يجزاك خير ما في غرفة اخرى في دور غير هل الدور هذا بعيد الرابع,Najdi
درامي,انا اقول لك ليش مزعل اختك منيرة,Najdi
اطفال,يا سلام يا ام الخير,Najdi
درامي,شبعوا مني,Hijazi
اطفال,عشان ارد على السؤال ده لازم اشرحلكم في الاول المويه حقتنا اللي موجودة في ابار الجزيرة من فين جات شوفوا,Khaliji
اطفال,ايوه ارجوكم تلحقون قبل لا يخرب العملية علينا وعليكم,Khaliji
اطفال,اثنين واربعة واربعين,Najdi
كوميدي,والله يعني بننظر فيها انا وياك قاعدين نقول لعل وعسى ويا ليت,Najdi
درامي,تدور حبوب صداع محمد,Khaliji
اطفال,كده انتي لعبتي شوي بس,Najdi
درامي,انت ما تدري عن شيء,Khaliji
كوميدي,المسانع,Khaliji
كوميدي,الله يسلمك وجزاك الله خير,Hijazi
درامي,معقولة,Khaliji
اطفال,استنى استنىاستن,Hijazi
اطفال,لما تطل في كتاب اهم شيء تطل في موضوعه مو تطل لي في غلافه,Khaliji
اطفال,فين رحت وسبتني يا وليد,Hijazi
اطفال,يعني خلينا نقول عدد ثلاثين تسعه وعشرين منهم قالوا احنا كذا في الشطرنج ما شاء الله عليكم تمام واحد اعترف قال والله ما علي فيها,Najdi
كوميدي,ونسويه في المزرعة,Hijazi
درامي,هذا الشي ما يخصني,Khaliji
اطفال,انت متاكد ما جا اليوم,Khaliji
درامي,لا تقولي كذا,Khaliji
اطفال,مع العلم يا سادة,Khaliji
اطفال,ااه في الحقيقة جدو سرحان انقذنا من الموت بالسم باعجوبة,Khaliji
اطفال,زين امسك القلم خذ القلم,Najdi
كوميدي,او وش قاعد تسوي,Najdi
اطفال,الدنيا فيها حاجات كثير فيها كويس وفيها سيء بس المهم مين اللي يستخدمها بالعلم انقذنا بلدنا من الخطر,Hijazi
كوميدي,جاء جاء ويا ضيوفه غيرواضح,Khaliji
اطفال,بابا فرحان ما هو في البيت يا منظم ما هو في البيت,Hijazi
اطفال,و جاي يهينني كمان في بيتي,Hijazi
اطفال,زي كل الاولاد الالعاب والالوان تاثر عليهم وعلى نفسياتهم وتخليهم ينسوا ويش الاولويات اللي عندهم واتفقوا عليها مع اهلهم وراتيل للحين ما قدرت تركز في الاولوية اللي وصتها فيها والدتها وتركت نفسها تلعب وفقدت تركيزها ترى وايش تقول لوالدتها لما ترجع وتلاقيها ماذاكرت,Najdi
كوميدي,هذه مية وثلاثة و خمسين الف ابراهيم عندنا والله يوفقك بوظيفتك الجديدة طبعا انت تستاهل كل خير,Khaliji
كوميدي,جالسة تتفرجي التلفزيون هاه,Hijazi
اطفال,وعندما ادرك هؤلاء الاصحاب,Khaliji
كوميدي,اي ابغي الثالثة تدرين ليش,Khaliji
كوميدي,انا ماني ماكد عليكم جميعا الساعة تسعة تكونون على الطاولة,Khaliji
درامي,محمد بالحديقة يا خالتي,Najdi
كوميدي,الحين كم يعطونك,Najdi
درامي,واتجوز القمر اللي اخترتي لي اياها وعلقت قلبي بيها خلاص يا سيتي خلاص لا تزعلي,Hijazi
كوميدي,دخلوه في التشكيله,Najdi
كوميدي,فيوما على الة حدباء منقول,Najdi
اطفال,اللي هي تهمة اي احد يثير الفتن والمشاكل و الذعر بين اهالي الجزيرة,Hijazi
درامي,محمد رجع,Khaliji
كوميدي,ما يبيلها شيء هاهاها واشتغلت مايبيلها شي بس اهم شي وشلون تمشي,Hijazi
كوميدي,ما يصير ابي حقي طال عمرك حقي حقي يوصلي,Khaliji
كوميدي,ما تقوليش لك بصك البيت ما تقول لي,Hijazi
اطفال,للاسف كمان مرة قدر عباس يهرب من نصبه على الناس,Khaliji
كوميدي,يبا فيك شيء يبا شفيك يبا فيك سلامات اوديك المستشفى شي تعبان شفيك ساكت,Najdi
اطفال,هي هتقولك السؤال الان وهي مغمضة عيونها لانها تحلم,Najdi
درامي,خسا الجوع,Hijazi
اطفال,مين العبقري الصغير,Najdi
اطفال,المواطن البطل هذا هو نفس الشخص اللي جمع الناس حواليه وطلعوا الاغراب من الجزيرة,Khaliji
اطفال,الالة الحاسبة,Najdi
كوميدي,انا ايش راي انا ما دام اقول يا حضرة الضابط يعني صك موجود و بين ايديك اه انا واخوي عتيج اه متنازلين متنازلين عن القضية,Khaliji
درامي,ايش اقولك يا وليد يا فيصل,Khaliji
درامي,وما نحتاج عزيمة وفرحة اولدك فهد فرحتنا كلنا,Najdi
اطفال,تعالوا نبدا المشوار بعزمكم وهو باصرار تعالوا نبدى المشوار بعزمكم وهو باصرار ونخلي الحب اغلى شعار ونخلي الحب اغلى شعار,Khaliji
كوميدي,الخط مشغول,Najdi
درامي,وخلينا مع بعض على طول,Khaliji
كوميدي,تغيرت كل شيء حتى ابرك للمعاملات للارض,Hijazi
اطفال,امم شمعها مرة ثانية,Najdi
درامي,يمكن احد من اهل امها عيونه خضر,Khaliji
كوميدي,فا انت عرفتي,Hijazi
اطفال,طيب الوحش هذا اي واحد يزعل سيد وان يجي الوحش هذا وينتقم من الشخص ده,Hijazi
كوميدي,وعليكم السلام ورحمة الله وبركاته,Hijazi
كوميدي,اجل خلاص ياوليدي اكلم نمشى,Khaliji
اطفال,غيرواضح من هنا ولا نقص,Najdi
كوميدي,حلوة حلوة يما سكر في ماء هاهاها ان شاء الله يما ان شاء الله ما تسويلنا رف في احسن غرفة في البيت هاهاها,Khaliji
درامي,بين يوم وليلة يتغير بالشكل ده,Hijazi
درامي,وانا كنت اظن انك رح تشكريني يا هدى,Khaliji
درامي,عيال الحلال,Najdi
كوميدي,طبعا خلصنا اللي بينا,Najdi
اطفال,اعطيني امثلة عن انواع الخلايا في جسم الانسان وجاوبي,Najdi
درامي,حميد ما بين,Najdi
كوميدي,ليش ليش كذا,Najdi
كوميدي,معيا منهم خليهم ان شاء الله دمهم يوصل لاخر الفريج ان شاء الله للح توصل الى اخر الديرة,Najdi
اطفال,نفس المبلغ نفس المبلغ طب بسرعة,Khaliji
اطفال,انا عارف ان انا ما قد مسؤولية,Khaliji
اطفال,اسمي محمد عبدالمعطي الجهني عمري عشر سنوات و حداشر شهر انا احب الدراسة عن علم البيئة والحيوانات وهذا هو شغفي,Hijazi
كوميدي,بنت العسم بنت العسم ما غيرها,Najdi
اطفال,يا مساعد القرية كلها ماتبغاه لا تسبب لنفسك مشاكل,Khaliji
درامي,ودك تسالني ليش وزع ثروتي على عيالي,Khaliji
درامي,قصري صوتك الله يسلمك قصري صوتك يعني ولا تهولي الامور كلها يوم او يومين لين نشوف حل لهالموضوع,Hijazi
اطفال,ام الخير,Khaliji
اطفال,يعني المعلم سامر جاي البيت,Hijazi
اطفال,نعم جدي,Najdi
درامي,يقولون فيها كثيرة,Najdi
اطفال,اهلا اهلا اهلا بيكم,Khaliji
اطفال,اجل نسافر جدة على طول خلاص خلاص انا فرحان انا لسه جسافر جدة يا جدي بالمرة يا بابا,Khaliji
كوميدي,طيب يضرك روحله يا خوي يمكن تلقى عنده خبر يمكن تلقى عنده فايدة,Najdi
اطفال,كنت يعني انت تعبت فيها علشان تزعل عليها,Khaliji
كوميدي,على شقة دوبليكس جنبها جامع جديد,Khaliji
كوميدي,تبغي تسافري قال تبغى تسافر قال بعدين خالد ولدي بيبي ما اداك الا بنية كده ما فقعلك عينك قال تبغى تسافر قال,Hijazi
درامي,شجرة جميلة,Najdi
درامي,بشر يا دكتور,Khaliji
اطفال,الله يسلمك,Najdi
كوميدي,اصلي,Hijazi
اطفال,سلمى الحلوة فتحاول تبحث وتدور على محمد عشان ترجع له المحفظة وبدا الطفش يتسلل على الموقف,Hijazi
كوميدي,ويوم صرنا هنا مداخلتنا في المكان اللي بتشرح النفس كنا عارف انه ما ودنا نشوف ولا سعودي عشان لاننفضح,Najdi
اطفال,وانا الذي اخبركم ان سندباد هنا,Khaliji
كوميدي,نمرت تلفونه,Hijazi
درامي,بشر بشر يا ابو مسامح عسى خفت عنك السخونة ان شاء الله,Khaliji
درامي,المهم قولي,Hijazi
اطفال,انت الي برمجتيه,Hijazi
اطفال,ما تقدر عشان الفلوس لا,Hijazi
كوميدي,انا عمري ما شفت بنت شايفة في نفسها مثل بنت العسل,Hijazi
اطفال,المويا بتنخفض وتقل طبعا انا سجلت ارتفاع المويه في كل بير من ابار الجزيرة,Khaliji
درامي,امسكي لا تكسفيني الله يخليكي,Hijazi
اطفال,اسالها يا حكيم يمكن تكون من فصيلة ثانية احنا ما نعرفها,Khaliji
اطفال,زائد خمسة وثلاثين,Najdi
اطفال,تعال يلا,Hijazi
كوميدي,انسى القرد انت الحين وخلنا في في,Hijazi
اطفال,مين يبي يفوز,Najdi
اطفال,لا يا بابا فرحان بصراحة لا تزعل مني كلام بيمبم صح,Khaliji
كوميدي,شلون تصير انا لازم اروح فرق الدوري ما رح تصير صارت البيعة,Khaliji
درامي,انا طالع,Hijazi
درامي,وش سالفة ذا الشناط اللي جاي وجايبها معاك,Khaliji
درامي,حمدون السعدي,Hijazi
اطفال,انت ما قلت انه كان بيطالع فيك بنظرات غريبة,Hijazi
اطفال,اه يا قلبي اه النسخة الوحيدة من مذكرات جدكم سرحان الاول الاول يا اولاد,Hijazi
درامي,بنت بشاره,Khaliji
اطفال,جابر دحين بس للغريب اللي يبغى يتعلق بقشة المهم انك تقفل في وجهه كل الابواب اللي ممكن تحل مشكلته علاشان ما يكون قدامه,Hijazi
كوميدي,عندك شيء عندك شيء تعايرني بعد,Khaliji
كوميدي,بس الشرهة مو بعليه,Khaliji
اطفال,كيف,Khaliji
درامي,الحين وين اروح اروح من هنا ولا من هنا ولا من هنا,Najdi
اطفال,طبعا اكيد,Khaliji
درامي,انا عمري قلت كلمة وغيرتها,Hijazi
اطفال,تعبت على نفسي,Najdi
كوميدي,يس يس عيل يا بنت الحلال اتركيه كي منها مناحي مناحي كلها يومين ويطفش الحالة ويزهق ويجي يدورنا ويغني,Hijazi
اطفال,اقبل الشهادة حسب القانون,Khaliji
كوميدي,عجيب الواحد لازم يجي,Khaliji
اطفال,نعم نعم نعم على كيفه اظن لا احنا بس نلاقي وحدة تتزوجه واحنا,Najdi
درامي,يا ابن الحلال استر علينا لو تدري اني بعرس على بنتك تعدي تاخذ ولدك هرسان,Khaliji
كوميدي,طيب طيب هيا في امان الله,Khaliji
اطفال,يعني انت الحين بابا فرحان ولدك,Najdi
كوميدي,كسر خاطري كسر خاطري والله الله يسلمك ان شاء الله,Hijazi
درامي,استاذ وجدي مثل ما قلت له نجمة تلزم حدودها بقول لك انت كمان الزم حدودك بعدين انا ما بسمح لك تغلط في بطن بيتي في اي واحد ولا بعد وبعدين انا ما طلبتك علشان اتغزل في سوائل عيونك انا وحدة صاحبة شركة وانت بكل اسف مدير الشركة وبعدين انا ماني قابلك نهائيا,Najdi
درامي,انا وصلت للمكان الي تحط,Hijazi
كوميدي,قولك هوا,Najdi
درامي,والزواج ان شاء الله راح يكون بعد ما تخف نوف,Hijazi
اطفال,يا عم زكي يا عم زكي قوم يا عم زكي,Khaliji
اطفال,عشان نوصل الخريطة وبعد كده نرجع جلدة الكتاب زي ما كانت,Hijazi
درامي,متى حصل الكلام هذا,Hijazi
درامي,ولا تزعل نفسك يا ابو علي,Najdi
درامي,يلا يمه,Khaliji
درامي,ارمي يا ليت اقدر بس شلون,Najdi
اطفال,وحلمك تكون طبيب فصل,Najdi
كوميدي,شو يقول الشاعر يقول قد شاب راسي وراس الدهر لم يشبو ان الحريص عتيق ها,Khaliji
اطفال,بتكذب عليا ليه,Hijazi
اطفال,مم سالتني كيف انت تعرف اني انا اسوي مسابقات كل سنة صح,Hijazi
درامي,قاعد يجازينا عاللي سويناه في اختي اسما تعدينا على حقها,Khaliji
كوميدي,يبو ياخذونه,Hijazi
درامي,الله لا يحرمك منها ولا يحرمها منك,Khaliji
درامي,قوم اذا ما غيرت رايك والكلام هذا انا بضطر اشتكيك لاخواني,Najdi
درامي,هلا هلا يا خالد كيف حالك,Najdi
اطفال,ترى رايحين على فين,Hijazi
كوميدي,علشان ليلته تصير حلوة,Khaliji
درامي,مال للقوي الا الاقواء منه,Hijazi
اطفال,مساعد اهلا وسهلا تفضل,Hijazi
اطفال,صالح ايش في يخوفك يا صالح ما في شي يدعي للقلق او الخوف,Najdi
درامي,من هذا من هذا هذا اخوي سالم,Najdi
اطفال,وبعدين,Khaliji
درامي,وراك تشغلني تستهبل انت,Najdi
اطفال,نحنا عشان شفناكم روبوتات فاخترنا واحد فيهم يعني مو نقلده لا,Hijazi
اطفال,سلمى فضلت انها تجلس و تستنى ماما بكل هدوء وحاولت من جديد تتعرف وش في خلف النوافذ في هذا الاستديو,Najdi
كوميدي,خ خليفة,Khaliji
كوميدي,انت تفكيرك تفكير سطحي تصور تصور لما تشوف رقم رقم موبايل وجوال كذا مميز وتلاقي رق رقم لوحة سيارة مميز شيء شيء شيء يحسسك بالتميز انا مثلا الان قدامك مميز بها العوارض مميز هاهاها بعدين لا تفكر انه ها الامور انه اللي اللي اطا اطالعها انا لحالي بس لا هذي اغلب الناس يطالعونها,Najdi
درامي,ابغى اكثر من زيارة وانت اذا راح زوجك للبنك يجيبك هنا لي وبعد ما يطلع من البنك يجي يتغدى وينام ويرتاح سمعتي واذا عنده مشاوير ثانية يوديكي بعدين يجي ياخذك,Najdi
درامي,حرام عليك يا خالد,Khaliji
درامي,ضاع ضاع محمد يا سارة ضاع مرة سالت,Khaliji
كوميدي,والله ما هان علي يا بو ناصر انك انت اللي تسوي الغدا,Hijazi
كوميدي,شوفي انا في البداية كنت احس انك فعلا انتي ما بكفوء لهذا المنصب بس بعدين لما اعطيتك الانذار الشفهي وشفت التغيير التام اللي صار في ادائك انا اشوف انك انتي تملكين ميزة مرة مهمة في المشرفة وهي انك تتعلمي من اخطائك وتاديها بشكل افضل,Hijazi
اطفال,نخلي واحد مننا يوقف هنا يراقب المنطقةواحنا نهجم علي جوا البيت,Khaliji
درامي,هذا الدكتور اللي جاي يكشف على عمي صالح,Khaliji
كوميدي,عزيزي الفاضل,Hijazi
كوميدي,عن وجهي,Hijazi
اطفال,وهذا الكلام صح معقولة طول السنين هذي ما شوف اهلي وناسي,Khaliji
اطفال,انا رح انا رح انسف مخططهم نسف,Khaliji
درامي,ماني شفتوها اللي حصل لنا هذا,Khaliji
درامي,انت قاعد تنصحني الحين يبا,Hijazi
كوميدي,ايش تبي ايش تبى ايش تبى ايش تبي وقف لعند باب البيت ايش تبى ايش تبي ايش تبي,Hijazi
كوميدي,انت وش بك,Najdi
اطفال,لا بننساه ولا يوم ينسانا,Khaliji
اطفال,استنى يا تعيت خلينا اشوفهم حيقول الحقيقة ولا,Khaliji
اطفال,عبادي,Hijazi
اطفال,اه لانه بصراحة في ناس عارضين عليه نفس البضاعة وانا ابغاك انت اللي تستفيد فلو جبتهالي اليوم يكون احسن,Najdi
درامي,حبيبة قلبها ليلي وامها ما تقدر تستغني عنهم زين الله خفس فيها بولدها ولبست تهمة عشان تنبط هذا اللي اسمها ليلى,Najdi
اطفال,خيال الطفل,Hijazi
درامي,اه وشلونك يا اسماء,Khaliji
اطفال,البلد العامرة هذي,Khaliji
اطفال,لكن لا يمكن يفكر انهم يدخلوا بيتك شي غريب,Khaliji
كوميدي,حياتنا هو واقعنا يمه حياتنا اللي احنا عايشينه,Khaliji
اطفال,يمكن يجيها صرع ثم ياكل الصقر,Najdi
كوميدي,اقل مصاريف واهم شيء امن وامان والمناظر الحلوة تشرح الصدر,Khaliji
كوميدي,لو سمحت جزاك الله خير توصفلي على على شنو على شنو,Khaliji
اطفال,الا لازم امر و اسلم عليه,Najdi
اطفال,العمل عمل ربنا اطمن انت يا شديد المهم قولي ايش اخبار خطتنا,Hijazi
اطفال,وحبه للجزيرة واهلها,Hijazi
درامي,استاذ بن فهرة وين الدليل اللي قلت لي عليه,Khaliji
درامي,اخاف ب اخاف ما تقبل بهرشان,Najdi
كوميدي,مين يقول زعلت لازعلت ولا انبطت شبدي ولا انقهرت ليش تزعليني بالقوة ما زعلت,Khaliji
اطفال,اوف يا سمورة اوف يعني انتي تبي تطلعيهم كلهم,Hijazi
اطفال,اسمي مؤيد شرف الحارثي عمري اثنعشر سنه ساكن في جده انا احب الالغاز الصعبة لانها تجيب الحماس والثاني تحدي مع الاخوان مع العائله وتشوف مين يفوز اول مين يشوف اسرع وهذا الشيء اللي احبه في الالغاز الصعبه,Najdi
